tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
th214,683113,H12756,6843,,5,0.00,616990,653137,dormant
th214,683118,W53806,1903116,,1,0.00,616979,653137,dormant
th214,683119,373863,PT2208880,,1,0.00,616978,653137,dormant
th214,683122,L58032,GP20001A,,1,0.00,616975,653137,dormant
th214,692860,220831,RNR30805,,6,492.31,614804,662533,READY_FOR_RACKING
th214,714782,I15593,N2200642,,1,216.72,607783,684043,READY_FOR_RACKING
th214,717188,X35257,MV014,,1,38.22,564907,686446,READY_FOR_RACKING
th214,717193,X35257,MV012,,9,343.98,608246,686451,READY_FOR_RACKING
th214,715245,N16824,1HT-7275,,2,221.76,640198,684503,READY_FOR_RACKING
th214,707669,184330,2208000326,,1,52.99,607955,676935,READY_FOR_RACKING
th214,730336,Q25671,58048MN2D,,1,475.20,477074,698460,READY_FOR_RACKING
th214,734385,168210,203CPAM2,,1,8.96,517828,702508,READY_FOR_RACKING
th214,758205,D46619,K2402156,,1,62.16,614003,724662,READY_FOR_RACKING
th214,759479,F13360,23442459,,1,121.17,665133,725936,READY_FOR_RACKING
th214,759510,O68759,5JAIW091,,1,88.00,573511,725967,READY_FOR_RACKING
th214,759516,O68759,5JAIW091,,1,88.00,594427,725973,READY_FOR_RACKING
th214,759787,077430,SA31960,,1,296.93,654901,726244,READY_FOR_RACKING
th214,761387,224276,TPJ0028,,2,317.92,607980,727842,READY_FOR_RACKING
th214,761479,I30430,SP23003,,1,82.60,673055,727934,READY_FOR_RACKING
th214,818787,A73522,AOT23913B,PR0-R00-S00-724,1,46.80,602970,783918,DISPATCH_READY
th224,747382,240865,014B056,,5,559.44,,709974,DISPATCH_READY
th224,851199,326115,D843235,PR1-R01-S01-450,1,4673.12,558529,802805,DISPATCH_READY
th224,851315,G06902,GSL40422,PR1-R01-S01-450,1,20.06,579675,802921,DISPATCH_READY
th224,851466,036170,ZJK0115,PR1-R01-S01-129,2,131.40,556269,803070,DISPATCH_READY
th224,853084,P78829,24460835,,7,907.17,525264,804665,READY_FOR_RACKING
th402,99715,226450,GTD2156A,,1,42.84,107273,94873,READY_FOR_RACKING
th402,99606,V89428,SSA0003,,1,211.12,107192,94764,READY_FOR_RACKING
th402,99663,167405,GKE1444A,,1,238.78,107240,94821,READY_FOR_RACKING
th402,99426,200001,SIE1444A,,1,272.00,107287,94584,READY_FOR_RACKING
th402,99472,077586,GKE1692A,,1,458.64,107372,94630,READY_FOR_RACKING
th402,100454,153705,GKE1046A,,3,248.98,107213,95612,READY_FOR_RACKING
th402,100502,254158,XBA0034,,1,77.35,107302,95660,READY_FOR_RACKING
th402,101015,W38853,I403374,,1,395.28,96763,96173,READY_FOR_RACKING
th402,101582,W50106,GKE1308A,,1,334.05,107183,96740,READY_FOR_RACKING
th402,101618,194562,SIE0603A,,3,1172.81,107261,96776,READY_FOR_RACKING
th402,101629,226726,GKE1791A,,1,159.05,107307,96787,READY_FOR_RACKING
th435,754,004935,51240199,,5,288.79,,421,DISPATCH_READY
