tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
th214,692860,220831,RNR30805,,6,492.31,614804,662533,READY_FOR_RACKING
th214,683113,H12756,6843,,5,0.00,616990,653137,dormant
th214,683118,W53806,1903116,,1,0.00,616979,653137,dormant
th214,683119,373863,PT2208880,,1,0.00,616978,653137,dormant
th214,683122,L58032,GP20001A,,1,0.00,616975,653137,dormant
th214,714782,I15593,N2200642,,1,216.72,607783,684043,READY_FOR_RACKING
th214,715245,N16824,1HT-7275,,2,221.76,640198,684503,READY_FOR_RACKING
th214,707669,184330,2208000326,,1,52.99,607955,676935,READY_FOR_RACKING
th214,717188,X35257,MV014,,1,38.22,564907,686446,READY_FOR_RACKING
th214,717193,X35257,MV012,,9,343.98,608246,686451,READY_FOR_RACKING
th214,730336,Q25671,58048MN2D,,1,475.20,477074,698460,READY_FOR_RACKING
th214,734385,168210,203CPAM2,,1,8.96,517828,702508,READY_FOR_RACKING
th214,759479,F13360,23442459,,1,121.17,665133,725936,READY_FOR_RACKING
th214,759510,O68759,5JAIW091,,1,88.00,573511,725967,READY_FOR_RACKING
th214,759516,O68759,5JAIW091,,1,88.00,594427,725973,READY_FOR_RACKING
th214,759787,077430,SA31960,,1,296.93,654901,726244,READY_FOR_RACKING
th214,761387,224276,TPJ0028,,2,317.92,607980,727842,READY_FOR_RACKING
th214,761479,I30430,SP23003,,1,82.60,673055,727934,READY_FOR_RACKING
th214,891602,A02219,FT51925003,PR0-R00-S00-415,4,517.44,699433,853101,DISPATCH_READY
th214,897188,P39268,2148757,,1,2758.90,667676,856440,READY_FOR_RACKING
th214,897190,P39268,2148757,,2,5517.79,668547,856442,READY_FOR_RACKING
th224,854783,F22805,HLAB04,,8,5582.08,579532,806349,READY_FOR_RACKING
th224,853084,P78829,24460835,,7,907.17,525264,804665,READY_FOR_RACKING
th224,747382,240865,014B056,,5,499.50,,709974,DISPATCH_READY
th224,855541,I12106,GCH1252,,1,14.00,524359,807098,READY_FOR_RACKING
th224,855779,I29817,NA192,,1,94.29,554279,807335,READY_FOR_RACKING
th224,855822,O10719,4HZ208,,1,43.78,579134,807378,READY_FOR_RACKING
th224,855823,O10719,KA2V,,9,394.03,579175,807379,READY_FOR_RACKING
th224,871654,M52340,D224921,PR1-R01-S01-256,1,28.93,556597,818227,DISPATCH_READY
th224,871656,R44691,ADQ04BFA,,1,90.00,572420,818229,READY_FOR_RACKING
th224,871659,209057,RS24244,,2,249.60,589314,818232,READY_FOR_RACKING
th224,871543,046335,010P2316,PR1-R01-S01-249,1,41.46,587627,818118,DISPATCH_READY
th224,873877,P78829,24460653,,1,114.56,577488,820448,READY_FOR_RACKING
th224,873887,000251,24490047,,1,92.47,579977,820458,READY_FOR_RACKING
th402,99606,V89428,SSA0003,,1,188.50,107192,94764,READY_FOR_RACKING
th402,99663,167405,GKE1444A,,1,213.20,107240,94821,READY_FOR_RACKING
th402,99715,226450,GTD2156A,,1,38.25,107273,94873,READY_FOR_RACKING
th402,101582,W50106,GKE1308A,,1,298.26,107183,96740,READY_FOR_RACKING
th402,101618,194562,SIE0603A,,3,1047.15,107261,96776,READY_FOR_RACKING
th402,101629,226726,GKE1791A,,1,142.01,107307,96787,READY_FOR_RACKING
th402,103213,226550,N2302373,PR2-R01-S01-045,2,349.72,120177,97980,DISPATCH_READY
th402,100454,153705,GKE1046A,,3,222.30,107213,95612,READY_FOR_RACKING
th402,100502,254158,XBA0034,,1,69.06,107302,95660,READY_FOR_RACKING
th402,99426,200001,SIE1444A,,1,242.86,107287,94584,READY_FOR_RACKING
th402,99472,077586,GKE1692A,,1,409.50,107372,94630,READY_FOR_RACKING
th402,104742,218894,SIE2416A,,1,122.14,111674,99502,READY_FOR_RACKING
th402,104745,218894,SIE2154A,,1,80.04,111675,99505,READY_FOR_RACKING
th402,103721,I05393,ZCVW009122,,8,2594.56,51030,98481,READY_FOR_RACKING
th402,105095,047516,SXE2252A,,1,113.57,112887,99855,READY_FOR_RACKING
th402,105131,I12420,BRD10108C,,1,274.75,113339,99891,READY_FOR_RACKING
th402,104915,K98544,VZAB20,PR2-R01-S01-045,1,112.12,120168,99675,DISPATCH_READY
th402,104916,M07784,XPIAY01,PR2-R01-S01-045,1,447.86,120169,99676,DISPATCH_READY
th402,105565,X41622,U302157,PR2-R01-S01-138,1,349.65,122100,100325,DISPATCH_READY
th429,224532,V57002,F4210,,1,33.60,21336,137723,READY_FOR_RACKING
th429,224533,V57002,F4210,,3,100.80,21337,137724,READY_FOR_RACKING
th429,224534,V57002,F4210,,4,134.40,22933,137725,READY_FOR_RACKING
th429,224535,V57002,F4210,,1,33.60,32438,137726,READY_FOR_RACKING
th429,221151,G17242,18240273A,,3,209.56,2312,134347,READY_FOR_RACKING
