purchase_issue_id,source_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
2638,th223,"UPDATE th223.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2638 AND invoice_id = 66842 AND invoice_no = '25-26/00137';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2638 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3440 AND tenant = 'th223';",
329266,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 329266 AND invoice_id = 519923 AND invoice_no = 'GC6493';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 329266 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37888 AND tenant = 'th205';",
46643,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 46643 AND invoice_id = 124166 AND invoice_no = 'MH0200002408';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 46643 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
46911,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 46911 AND invoice_id = 121344 AND invoice_no = 'SD2427171879';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 46911 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
47984,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 47984 AND invoice_id = 125359 AND invoice_no = 'I25986500044';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 47984 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
860015,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860015 AND invoice_id = 109256 AND invoice_no = 'SD2427020811';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860015 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860016,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860016 AND invoice_id = 109610 AND invoice_no = 'MH0200063775';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860016 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860017,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860017 AND invoice_id = 49598 AND invoice_no = '1401053789';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860017 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860018,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860018 AND invoice_id = 104153 AND invoice_no = 'SD2327101712';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860018 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860019,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860019 AND invoice_id = 109189 AND invoice_no = 'SD2427080696';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860019 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
