id,ucode,batch,return_reason,return_quantity,purchase_issue_id,created_on,updated_on,bin,discount_percentage,name,expiry,mrp,discount_amount,discount_on,epr,sgst,cgst,igst,sgst_amount,cgst_amount,igst_amount,amount,purchase_rate,brand,division,item_type,pts,gst_applicable,pr,assigned_bin,status,pre_purchase_issue_id,ppio_in_PR,source_debit_note_number,source_tenant,update_pre_purchase_query,delete_purchase_issue_item_query
716558,I40435,2208000408,EXPIRED,1,685816,2025-07-03 14:13:33,2025-07-03 14:13:33,,0.00,NEW GLYCODIN BOTTLE OF 100ML SYRUP,2025-02-28,109.50,0.00,EPR,43.38,6.00,6.00,0.00,2.60,2.60,0.00,48.59,,ALEMBIC PHARMACEUTICALS LTD,PHARMA (ALEMBIC PHARMACEUTICALS LTD),EXPIRED,0.00,1,0.00,PR0-R00-S00-202,IN_RACK,642668,642668,DR0214-25A000409,th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 642668",DELETE FROM th214.purchase_issue_item WHERE id = 716558
500049,F79676,CEM02AAA,SHORT_QUANTITY,10,209399,2025-08-25 13:52:11,2025-08-25 13:52:10,,0.00,SNIKUF 4 BOTTLE OF 100ML SYRUP,2027-05-31,108.90,0.00,EPR,15.20,0.00,0.00,0.00,0.00,0.00,0.00,152.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210283,210283,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210283",DELETE FROM th425.purchase_issue_item WHERE id = 500049
500050,U75079,ZCA-016,SHORT_QUANTITY,10,209400,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLINPEU 300MG STRIP OF 10 CAPSULES,2026-12-31,195.42,0.00,EPR,23.50,0.00,0.00,0.00,0.00,0.00,0.00,235.00,,AVIGHNA MEDICARE PVT LTD,DEFAULT (AVIGHNA MEDICARE PVT LTD),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210284,210284,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210284",DELETE FROM th425.purchase_issue_item WHERE id = 500050
500055,U75079,ZCA-016,SHORT_QUANTITY,27,209405,2025-08-25 13:52:12,2025-08-25 13:52:12,,0.00,CLINPEU 300MG STRIP OF 10 CAPSULES,2026-12-31,195.42,0.00,EPR,23.50,0.00,0.00,0.00,0.00,0.00,0.00,634.50,,AVIGHNA MEDICARE PVT LTD,DEFAULT (AVIGHNA MEDICARE PVT LTD),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210332,210332,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210332",DELETE FROM th425.purchase_issue_item WHERE id = 500055
500052,C98376,DKO02ADA,SHORT_QUANTITY,60,209402,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLAVCEP 200MG STRIP OF 10 TABLETS,2027-04-30,188.89,0.00,EPR,33.50,0.00,0.00,0.00,0.00,0.00,0.00,2010.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210286,210286,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210286",DELETE FROM th425.purchase_issue_item WHERE id = 500052
500053,C98376,DKO02ADA,SHORT_QUANTITY,40,209403,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLAVCEP 200MG STRIP OF 10 TABLETS,2027-04-30,188.89,0.00,EPR,33.50,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210287,210287,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210287",DELETE FROM th425.purchase_issue_item WHERE id = 500053
500052,C98376,DKO02ADA,SHORT_QUANTITY,60,209402,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLAVCEP 200MG STRIP OF 10 TABLETS,2027-04-30,188.89,0.00,EPR,33.50,0.00,0.00,0.00,0.00,0.00,0.00,2010.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210286,210286,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210286",DELETE FROM th425.purchase_issue_item WHERE id = 500052
500053,C98376,DKO02ADA,SHORT_QUANTITY,40,209403,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLAVCEP 200MG STRIP OF 10 TABLETS,2027-04-30,188.89,0.00,EPR,33.50,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210287,210287,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210287",DELETE FROM th425.purchase_issue_item WHERE id = 500053
500054,U25541,ADU03AMA,SHORT_QUANTITY,10,209404,2025-08-25 13:52:12,2025-08-25 13:52:11,,0.00,TEPLOTA COLD STRIP OF 10 TABLETS,2027-04-30,34.00,0.00,EPR,6.10,0.00,0.00,0.00,0.00,0.00,0.00,61.00,,TRUECURE,DEFAULT (TRUECURE),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210288,210288,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210288",DELETE FROM th425.purchase_issue_item WHERE id = 500054
500050,U75079,ZCA-016,SHORT_QUANTITY,10,209400,2025-08-25 13:52:11,2025-08-25 13:52:11,,0.00,CLINPEU 300MG STRIP OF 10 CAPSULES,2026-12-31,195.42,0.00,EPR,23.50,0.00,0.00,0.00,0.00,0.00,0.00,235.00,,AVIGHNA MEDICARE PVT LTD,DEFAULT (AVIGHNA MEDICARE PVT LTD),SALEABLE,0.00,0,0.00,PR1-R01-S01-053,IN_RACK,210284,210284,P0425-25A0000110,th425,"UPDATE th425.pre_purchase_issue_order SET updated_on = NOW(), status = 'CREATED' WHERE id = 210284",DELETE FROM th425.purchase_issue_item WHERE id = 500050
