source_debit_note_number,dest_tenant,source_tenant
P0213-25A0000067,th429,th213
P0213-25A0000070,th429,th213
P0213-25A0000071,th429,th213
P0213-25A0000072,th429,th213
DR0214-25A001801,th213,th214
DR0214-25A000409,th213,th214
P0214-25A0002610,th213,th214
DR0214-25A004460,th213,th214
U0224-25A0000014,th223,th224
DR0224-25A000600,th223,th224
DR0224-25A000307,th437,th224
DR0224-25A000727,th437,th224
DR0224-25A000514,th437,th224
P0224-25A0000476,th437,th224
P0224-25A0000475,th437,th224
DR0402-25A000272,th400,th402
PD0406-25A000559,th223,th406
U0408-25A0000014,th400,th408
DR0409-25A000002,th411,th409
DR0411-25A000061,th402,th411
P0418-25A0000037,th429,th418
P0418-25A0000035,th429,th418
DR0418-25A000215,th435,th418
DR0425-25A000148,th223,th425
DR0425-25A000149,th223,th425
P0425-25A0000110,th436,th425
U0428-25A0000031,th223,th428
DR0435-25A000399,th214,th435
