purchase_issue_id,source_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
305384,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 305384 AND invoice_id = 514590 AND invoice_no = 'T0205-24A0013445';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 305384 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37879 AND tenant = 'th205';",
305385,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 305385 AND invoice_id = 514587 AND invoice_no = 'T0205-24A0013402';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 305385 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37879 AND tenant = 'th205';",
329266,th205,"UPDATE th205.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 329266 AND invoice_id = 519923 AND invoice_no = 'GC6493';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 329266 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37888 AND tenant = 'th205';",
46643,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 46643 AND invoice_id = 124166 AND invoice_no = 'MH0200002408';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 46643 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
46911,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 46911 AND invoice_id = 121344 AND invoice_no = 'SD2427171879';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 46911 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
47984,th213,"UPDATE th213.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 47984 AND invoice_id = 125359 AND invoice_no = 'I25986500044';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 47984 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th213';",
672101,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 672101 AND invoice_id = 1000586 AND invoice_no = 'T0213-24A0003600';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 672101 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
739893,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 739893 AND invoice_id = 1052073 AND invoice_no = '118380-SR';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 739893 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37894 AND tenant = 'th214';",
753665,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 753665 AND invoice_id = 1054448 AND invoice_no = 'T0414-24A0001457';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 753665 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 37896 AND tenant = 'th214';",
772804,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 772804 AND invoice_id = 1063784 AND invoice_no = 'SI/240468';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 772804 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
772823,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 772823 AND invoice_id = 999727 AND invoice_no = 'T0214-24A0012209';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 772823 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
772824,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 772824 AND invoice_id = 999714 AND invoice_no = 'T0214-24A0014889';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 772824 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
775809,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 775809 AND invoice_id = 1057893 AND invoice_no = 'T0425-25A0002282';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 775809 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
779315,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 779315 AND invoice_id = 993287 AND invoice_no = 'SC-24-1535637';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 779315 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 206328 AND tenant = 'th214';",
